,Name,Year,Rating,Votes
199,The Mummy Returns,2001,6.3,276064.0
200,Mission: Impossible III,2006,6.9,295134.0
201,The Mist,2007,7.2,252824.0
202,2012,2009,5.8,318192.0
203,Mission: Impossible II,2000,6.1,280001.0
204,The Texas Chainsaw Massacre,2003,6.2,119695.0
205,Gone Baby Gone,2007,7.7,225741.0
206,Hannibal,2001,6.8,230514.0
207,How the Grinch Stole Christmas,2000,6.1,168131.0
208,17 Again,2009,6.4,162165.0
209,X2,2003,7.5,464291.0
210,The Cell,2000,6.3,87448.0
211,He's Just Not That Into You,2009,6.4,145924.0
212,Poseidon,2006,5.6,89730.0
213,The Human Centipede (First Sequence),2009,4.4,65728.0
214,3 Idiots,2009,8.4,282856.0
215,Terminator 3: Rise of the Machines,2003,6.3,340105.0
216,Big Fish,2003,8.0,381725.0
217,The Terminal,2004,7.3,351696.0
218,Splice,2009,5.7,85907.0
219,The Others,2001,7.6,304691.0
220,Legally Blonde,2001,6.2,155971.0
221,Lilo & Stitch,2002,7.2,142489.0
222,Traffic,2000,7.6,182898.0
223,G.I. Joe: The Rise of Cobra,2009,5.8,188178.0
224,Fracture,2007,7.2,163073.0
225,Freddy vs. Jason,2003,5.8,99906.0
226,Star Wars: Episode III - Revenge of the Sith,2005,7.6,615023.0
227,Cloverfield,2008,7.0,341542.0
228,The Pursuit of Happyness,2006,8.0,391198.0
229,The Aviator,2004,7.5,298439.0
230,The Hurt Locker,2008,7.6,379730.0
231,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.2,377853.0
232,White Chicks,2004,5.5,113865.0
233,The Ring,2002,7.1,289277.0
234,The Holiday,2006,6.9,209442.0
235,Walk the Line,2005,7.9,206663.0
236,Ocean's Twelve,2004,6.5,322021.0
237,Death Proof,2007,7.0,235852.0
238,The Emperor's New Groove,2000,7.3,152622.0
239,The Matrix Reloaded,2003,7.2,465013.0
240,Signs,2002,6.7,304515.0
241,Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,313905.0
242,Superman Returns,2006,6.1,256356.0
243,The League of Extraordinary Gentlemen,2003,5.8,153957.0
244,Law Abiding Citizen,2009,7.4,243748.0
245,Wanted,2008,6.7,331905.0
246,Slumdog Millionaire,2008,8.0,723628.0
247,Y tu mamá también,2001,7.7,102621.0
248,Minority Report,2002,7.7,454508.0
249,Rocky Balboa,2006,7.2,182586.0
250,Juno,2007,7.5,455594.0
251,Kiss Kiss Bang Bang,2005,7.6,197639.0
252,Kynodontas,2009,7.3,62384.0
253,Jurassic Park III,2001,5.9,260102.0
254,Moulin Rouge!,2001,7.6,246279.0
255,Hulk,2003,5.7,233597.0
256,Mr. Nobody,2009,7.9,188813.0
257,The Princess and the Frog,2009,7.1,104426.0
258,The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,152833.0
259,Shooter,2007,7.2,284151.0
260,The Princess Diaries,2001,6.3,111421.0
261,Charlie's Angels,2000,5.5,159112.0
262,Fantastic Mr. Fox,2009,7.8,169233.0
263,Vanilla Sky,2001,6.9,228371.0
264,Pirates of the Caribbean: Dead Man's Chest,2006,7.3,594459.0
265,Marie Antoinette,2006,6.4,90519.0
266,New York Minute,2004,4.9,19705.0
267,Bolt,2008,6.9,167737.0
268,Little Miss Sunshine,2006,7.8,398166.0
269,Teeth,2007,5.4,38296.0
270,Final Destination,2000,6.7,204104.0
271,Antichrist,2009,6.6,102186.0
272,28 Weeks Later,2007,7.0,235662.0
273,Star Wars: Episode II - Attack of the Clones,2002,6.6,551541.0
274,Hauru no ugoku shiro,2004,8.2,268342.0
275,"O Brother, Where Art Thou?",2000,7.8,254681.0
276,(500) Days of Summer,2009,7.7,428252.0
277,Dodgeball: A True Underdog Story,2004,6.7,207312.0
278,War of the Worlds,2005,6.5,375666.0
279,Sky High,2005,6.2,69945.0
280,Hitman,2007,6.3,151283.0
281,Blow,2001,7.6,218672.0
282,Secretary,2002,7.0,75372.0
283,Män som hatar kvinnor,2009,7.8,192254.0
284,RocknRolla,2008,7.3,214640.0
285,Red Dragon,2002,7.2,225379.0
286,Kung Fu Panda,2008,7.6,362360.0
287,District 9,2009,7.9,589027.0
288,Knocked Up,2007,7.0,324383.0
289,The Butterfly Effect,2004,7.7,407237.0
290,Låt den rätte komma in,2008,7.9,190442.0
291,The Good Shepherd,2006,6.7,92663.0
292,Bruce Almighty,2003,6.7,335378.0
293,Enchanted,2007,7.1,160637.0
294,Wrong Turn,2003,6.1,98209.0
295,Monster,2003,7.3,120667.0
296,Kill Bill: Vol. 2,2004,8.0,588555.0
297,Nacho Libre,2006,5.7,73666.0
298,Artificial Intelligence: AI,2001,7.1,267816.0
299,The Day After Tomorrow,2004,6.4,373122.0
300,Lara Croft: Tomb Raider,2001,5.8,180303.0
301,The Last Samurai,2003,7.7,358659.0
302,Jeepers Creepers,2001,6.2,100089.0
303,Bridge to Terabithia,2007,7.2,127085.0
304,Resident Evil,2002,6.7,225418.0
305,Chicago,2002,7.2,195172.0
306,Star Trek: Nemesis,2002,6.4,65787.0
307,Blade: Trinity,2004,5.9,150809.0
308,The Count of Monte Cristo,2002,7.8,116623.0
309,The Time Machine,2002,5.9,111162.0
310,Shrek 2,2004,7.2,363111.0
311,Sex Drive,2008,6.5,78459.0
312,P.S. I Love You,2007,7.1,187739.0
313,Holes,2003,7.0,67685.0
314,Pirates of the Caribbean: At World's End,2007,7.1,539215.0
315,Unfaithful,2002,6.7,71416.0
316,Collateral,2004,7.5,326590.0
317,The Boy in the Striped Pyjamas,2008,7.8,161294.0
318,King Arthur,2004,6.3,148931.0
319,Pineapple Express,2008,7.0,284691.0
320,Push,2009,6.1,98618.0
321,The Passion of the Christ,2004,7.2,196341.0
322,The Patriot,2000,7.2,230777.0
323,Miami Vice,2006,6.0,100872.0
324,Vicky Cristina Barcelona,2008,7.1,222113.0
325,Enter the Void,2009,7.3,56901.0
326,Beowulf,2007,6.2,152380.0
327,Mr. & Mrs. Smith,2005,6.5,400931.0
328,The Mummy: Tomb of the Dragon Emperor,2008,5.2,135649.0
329,Gone in Sixty Seconds,2000,6.5,239801.0
330,Wet Hot American Summer,2001,6.7,48193.0
331,9 Songs,2004,4.8,19873.0
332,Adaptation.,2002,7.7,161036.0
333,She's the Man,2006,6.4,132552.0
334,The Twilight Saga: New Moon,2009,4.7,241471.0
335,El secreto de sus ojos,2009,8.2,165273.0
336,Jumper,2008,6.1,265844.0
337,House of Wax,2005,5.3,104910.0
338,Hairspray,2007,6.7,109568.0
339,The Sisterhood of the Traveling Pants,2005,6.5,49444.0
340,Alexander,2004,5.6,151255.0
341,Perfume: The Story of a Murderer,2006,7.5,212789.0
342,Planet of the Apes,2001,5.7,197498.0
343,The Scorpion King,2002,5.5,117597.0
344,50 First Dates,2004,6.8,295675.0
345,National Treasure,2004,6.9,279025.0
346,Super Troopers,2001,7.1,88461.0
347,Catwoman,2004,3.3,98268.0
348,Billy Elliot,2000,7.7,110444.0
349,Old School,2003,7.1,199787.0
350,Peter Pan,2003,6.9,59897.0
351,Blood Diamond,2006,8.0,449996.0
352,Ice Age,2002,7.5,381440.0
353,The Bourne Identity,2002,7.9,462389.0
354,Freaky Friday,2003,6.2,111184.0
355,40 Days and 40 Nights,2002,5.6,66068.0
356,A Series of Unfortunate Events,2004,6.8,179964.0
357,The Hills Have Eyes II,2007,5.1,55579.0
358,The Italian Job,2003,7.0,314379.0
359,From Hell,2001,6.8,136450.0
360,Erin Brockovich,2000,7.3,152994.0
361,Sweet Home Alabama,2002,6.2,92892.0
362,Death Race,2008,6.4,183229.0
363,Fantastic Four,2005,5.7,290354.0
364,The Texas Chainsaw Massacre: The Beginning,2006,5.9,62538.0
365,Sunshine,2007,7.3,214152.0
366,Anchorman: The Legend of Ron Burgundy,2004,7.2,299439.0
367,Ghost Rider,2007,5.2,203486.0
368,A Cinderella Story,2004,5.9,72303.0
369,The Golden Compass,2007,6.1,163584.0
370,How to Lose a Guy in 10 Days,2003,6.4,183124.0
371,Thir13en Ghosts,2001,5.6,72060.0
372,"10,000 BC",2008,5.1,117790.0
373,Chloe,2009,6.3,63382.0
374,Madagascar,2005,6.9,314060.0
375,A Perfect Getaway,2009,6.5,62371.0
376,Layer Cake,2004,7.4,147963.0
377,The Road,2009,7.3,201167.0
378,Into the Blue,2005,5.8,68629.0
379,The Longest Yard,2005,6.4,146331.0
380,Body of Lies,2008,7.1,194252.0
381,Terminator Salvation,2009,6.6,312844.0
382,Yes Man,2008,6.8,302055.0
383,"I, Robot",2004,7.1,447624.0
384,Silent Hill,2006,6.6,197640.0
385,Shrek the Third,2007,6.0,243453.0
386,Batoru rowaiaru,2000,7.7,155375.0
387,Changeling,2008,7.8,218075.0
388,The Bourne Ultimatum,2007,8.0,568616.0
389,Insomnia,2002,7.2,246956.0
390,The Wrestler,2008,7.9,272688.0
391,The Da Vinci Code,2006,6.6,360670.0
392,Summer Catch,2001,5.0,14193.0
